colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,X
red,r,0,yellow,0,0,0,5,r,1,1.1565106325437,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,0,red,0,1,1,10,b,1,0.607026507375417,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,1,blue,0,2,2,7,b,1,0.36421962923168,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
red,r,1,red,0,3,3,0,r,1,0.558034894732982,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
red,r,1,red,0,4,4,2,r,1,0.449463961736741,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,0,yellow,0,5,5,23,g,1,1.12674010397828,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,1,yellow,0,6,6,13,y,1,0.291636725985372,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
red,r,1,red,0,7,7,1,r,1,0.522456414598895,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,1,green,0,8,8,19,g,1,0.668718407133407,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,0,blue,0,9,9,21,g,1,1.16556285285286,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,1,green,0,10,10,18,g,1,0.665744786448244,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,1,green,0,11,11,20,g,1,0.564151499918127,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,0,yellow,0,12,12,11,b,1,0.603650226614992,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,1,yellow,0,13,13,12,y,1,0.546812694258416,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,0,green,0,14,14,15,y,1,0.574099531623182,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
red,r,0,green,0,15,15,3,r,1,0.882235664826158,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,0,green,0,16,16,9,b,1,0.799765991989596,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,0,blue,0,17,17,16,y,1,0.550030187360205,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
green,g,0,red,0,18,18,22,g,1,0.73559511445887,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
red,r,0,blue,0,19,19,4,r,1,0.81834565451157,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,1,blue,0,20,20,8,b,1,0.860498624558635,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
blue,b,1,blue,0,21,21,6,b,1,0.584997822896012,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,1,yellow,0,22,22,14,y,1,0.687025423410401,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
yellow,y,0,red,0,23,23,17,y,1,0.46216282767106,2013_Sep_18_1426,60.0095859581,StroopExample,1,5,NA
