colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,X
red,r,0,yellow,0,0,0,5,r,1,0.891162182110205,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,0,red,0,1,1,10,b,1,0.756950774861846,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,1,blue,0,2,2,7,b,1,0.414997048513752,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
red,r,1,red,0,3,3,0,r,1,0.808420411331931,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
red,r,1,red,0,4,4,2,r,1,0.710666907248624,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,0,yellow,0,5,5,23,g,1,0.950355792950163,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,1,yellow,0,6,6,13,y,1,0.653586662285111,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
red,r,1,red,0,7,7,1,r,1,0.714062303864878,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,1,green,0,8,8,19,g,1,0.594898877839741,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,0,blue,0,9,9,21,g,1,0.925187999458509,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,1,green,0,10,10,18,g,1,0.335946392778928,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,1,green,0,11,11,20,g,1,0.769752526238328,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,0,yellow,0,12,12,11,b,1,0.376231977289264,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,1,yellow,0,13,13,12,y,1,0.162272369309682,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,0,green,0,14,14,15,y,1,0.903550820011757,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
red,r,0,green,0,15,15,3,r,1,0.606364350216832,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,0,green,0,16,16,9,b,1,0.594205682405036,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,0,blue,0,17,17,16,y,1,0.786088096354664,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
green,g,0,red,0,18,18,22,g,1,1.03834070453648,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
red,r,0,blue,0,19,19,4,r,1,0.620201997452764,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,1,blue,0,20,20,8,b,1,0.802565372072338,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
blue,b,1,blue,0,21,21,6,b,1,0.486137478489875,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,1,yellow,0,22,22,14,y,1,0.64441256786292,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
yellow,y,0,red,0,23,23,17,y,1,0.7274775858098,2013_Sep_18_1426,60.0095859581,StroopExample,1,8,NA
