colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,X
red,r,0,yellow,0,0,0,5,r,1,1.2813111887855,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,0,red,0,1,1,10,b,1,0.476770116845719,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,1,blue,0,2,2,7,b,1,0.224510934477006,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
red,r,1,red,0,3,3,0,r,1,0.342082605792273,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
red,r,1,red,0,4,4,2,r,1,0.36475580126373,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,0,yellow,0,5,5,23,g,1,0.907015109970738,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,1,yellow,0,6,6,13,y,1,0.421443158346368,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
red,r,1,red,0,7,7,1,r,1,0.264814425812365,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,1,green,0,8,8,19,g,1,1.00103136887662,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,0,blue,0,9,9,21,g,1,0.755087984184131,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,1,green,0,10,10,18,g,1,0.37423983663529,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,1,green,0,11,11,20,g,1,0.328339306649405,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,0,yellow,0,12,12,11,b,1,0.833616730964647,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,1,yellow,0,13,13,12,y,1,0.0736568413582088,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,0,green,0,14,14,15,y,1,0.51439666414302,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
red,r,0,green,0,15,15,3,r,1,0.944908940697243,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,0,green,0,16,16,9,b,1,0.62631319767034,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,0,blue,0,17,17,16,y,1,0.721598794991027,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
green,g,0,red,0,18,18,22,g,1,0.722259923930496,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
red,r,0,blue,0,19,19,4,r,1,0.572829990519863,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,1,blue,0,20,20,8,b,1,0.665717329940904,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
blue,b,1,blue,0,21,21,6,b,1,0.449938417793784,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,1,yellow,0,22,22,14,y,1,0.608917214070758,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
yellow,y,0,red,0,23,23,17,y,1,0.557735765474918,2013_Sep_18_1426,60.0095859581,StroopExample,1,2,NA
