colorstim,corrAnswer,congruency,wordstim,StrialsLoop.thisRepN,StrialsLoop.thisTrialN,StrialsLoop.thisN,StrialsLoop.thisIndex,KeypressTime.keys,KeypressTime.corr,KeypressTime.rt,date,frameRate,expName,session,participant,X
red,r,0,yellow,0,0,0,5,r,1,1.11150079716414,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,0,red,0,1,1,10,b,1,0.776741362342823,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,1,blue,0,2,2,7,b,1,0.382276403991717,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
red,r,1,red,0,3,3,0,r,1,0.16976651509628,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
red,r,1,red,0,4,4,2,r,1,0.57155426554189,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,0,yellow,0,5,5,23,g,1,1.2228491143528,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,1,yellow,0,6,6,13,y,1,0.67491940438015,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
red,r,1,red,0,7,7,1,r,1,0.587221491577868,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,1,green,0,8,8,19,g,1,0.515499151010592,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,0,blue,0,9,9,21,g,1,0.819297053959836,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,1,green,0,10,10,18,g,1,0.456780373135988,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,1,green,0,11,11,20,g,1,0.890092017655383,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,0,yellow,0,12,12,11,b,1,0.591437810011502,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,1,yellow,0,13,13,12,y,1,0.77657600450605,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,0,green,0,14,14,15,y,1,0.820874678236571,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
red,r,0,green,0,15,15,3,r,1,1.17948148148475,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,0,green,0,16,16,9,b,1,0.772271321342222,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,0,blue,0,17,17,16,y,1,0.517831435366074,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
green,g,0,red,0,18,18,22,g,1,0.995277254588327,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
red,r,0,blue,0,19,19,4,r,1,1.11688752689704,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,1,blue,0,20,20,8,b,1,0.517944865573476,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
blue,b,1,blue,0,21,21,6,b,1,0.149453547820908,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,1,yellow,0,22,22,14,y,1,0.807923733425892,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
yellow,y,0,red,0,23,23,17,y,1,0.769229293482677,2013_Sep_18_1426,60.0095859581,StroopExample,1,7,NA
